sakai_id,ind_tiene_contenido,ind_entrega_tarea,ind_tiene_notificaciones,ind_notificaciones_mail,ind_tiene_mensajes,ind_lee_mensajes,ind_activ_nuevo_mensaje,ind_activ_respuesta_mensaje,ind_usa_imagen_oficial,ind_mostrar_feed,ind_status_online,ind_notificac_examen,ind_notificac_tareas,ind_conexion,num_total_visitas,ind_al_menos_un_aprobado,ind_todo_aprobado
0e54d523-c9f2-4ac6-b708-795e66354cf0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,1,1
0ff08a5e-2323-4a6a-ab4d-c89a8325d400,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,1
0ff33408-9fc2-4e5d-9662-3f84eb92c021,1,1,1,1,1,1,1,1,0,1,0,1,1,1,4,1,1
0c133b9d-e572-4de7-97be-76119b52153f,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
14304a30-e0db-4d30-ac8a-335c4b2dcf1c,1,1,1,1,1,1,0,0,0,1,1,1,1,1,6,1,0
057d80e3-8d94-48bc-9add-57893202e134,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
03139c87-da85-4751-abe8-44cf014e275a,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1
15705e55-2e53-4d66-ab2d-b416b110a303,1,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1
1170b3dd-613e-4476-b6c7-f31ca700a113,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,0
083ad4e1-bef4-434f-b80f-cc7be45d5fe5,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,0
083c188c-53d9-4398-bc5d-ab9896423025,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
047c9034-6ef2-4b6a-9cf0-aa57db856792,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,1
0bbdfbc2-16b4-4aee-bdd0-2ceb55a87eab,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,1
146945b2-244c-4667-be59-d22e7d6e903d,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,1
15cf0575-0344-4dea-a017-a50a7c1e89d8,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,1
049fbf08-c05a-4a1b-b55f-046c35a20763,1,1,1,1,1,1,0,0,0,1,1,1,1,1,6,1,0
138495b9-0ed2-4704-9731-ac6074616fc9,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
10bedc74-f4af-4827-9c50-a2ef8343ad9e,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
017c97cd-1bd6-4c7e-81c4-6e79719f1194,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,1
01ad0572-0ff8-48ca-8ea6-88da91ae3203,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
11aa93fd-4546-4f5a-9953-9fdbab03bcd2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,0
037352fc-ffd0-4901-818a-d06ae8b26d3a,1,1,1,1,1,1,1,1,0,1,1,1,1,1,6,1,0
1475d46a-54bf-4c34-9dbd-8fde8d60f80f,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6,1,1
00653671-65ae-4c89-80f2-03a1bc75dd5b,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,1,1
013f4cb9-8f55-400b-9d87-995bbb741565,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,0
071f7de4-3ca1-4789-aac1-6e1121f9513c,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,1
0fde6eba-0136-4db4-9644-a0e38b259511,1,1,1,1,1,1,1,1,0,1,1,0,0,1,5,1,1
0559f6a8-fcfb-4713-b03d-8f16e7c78d28,1,1,1,1,1,1,1,1,0,1,1,0,0,1,4,1,1
